review_id,review_rating_grade,review_accuracy_grade,review_cleanliness_grade,review_communication_grade,average_review_score
0,A,A,A,A,A
1,B,B,A,B,A
2,B,A,A,A,A
3,A,B,A,A,A
4,B,B,A,A,A
5,A,A,B,A,A
6,B,B,B,A,A
7,A,B,B,A,A
8,A,A,C,A,A
9,B,B,C,A,B
10,B,A,B,A,A
11,A,B,C,A,A
12,B,A,B,B,A
13,B,C,A,C,B
14,A,B,B,B,A
15,B,B,C,B,B
16,A,A,B,B,A
17,B,A,A,B,A
18,A,A,A,B,A
19,B,A,C,A,A
20,B,C,C,A,B
21,B,C,B,D,C
22,C,C,B,B,B
23,A,C,A,B,A
24,C,C,C,B,C
25,C,A,A,B,A
26,C,B,B,B,B
27,C,A,B,B,B
28,C,B,C,B,B
29,C,B,B,A,B
30,C,A,C,A,B
31,A,C,A,A,A
32,B,C,D,A,B
33,D,D,A,A,B
34,C,D,B,A,B
35,A,B,D,A,B
36,C,B,C,C,C
37,E,E,E,E,E
38,B,B,A,C,B
39,B,C,B,B,B
40,B,D,B,A,B
41,C,B,E,A,C
42,D,D,C,E,D
43,A,B,A,C,A
44,A,C,B,A,A
45,C,C,D,A,C
46,B,A,C,D,B
47,A,B,C,C,B
48,C,B,C,A,B
49,B,B,B,B,B
50,D,A,A,E,C
51,C,C,C,A,B
52,B,C,B,A,B
53,C,C,E,B,C
54,B,A,B,C,B
55,B,C,A,A,A
56,C,C,D,D,D
57,B,E,C,B,C
58,B,B,C,C,B
59,B,B,D,A,B
60,B,A,C,C,B
61,D,A,E,A,C
62,B,C,E,A,C
