neighbourhood_id,neighbourhood,neighbourhood_cleansed
0,Alki,Alki
1,Arbor Heights,Arbor Heights
2,Atlantic,Leschi
3,Ballard,Adams
4,Belltown,Belltown
5,Bitter Lake,Greenwood
6,Brighton,Brighton
7,Broadview,Bitter Lake
8,Broadway,Broadway
9,Bryant,Ravenna
10,Capitol Hill,Minor
11,Cedar Park,Matthews Beach
12,Central Business District,Pike-Market
13,Columbia City,Brighton
14,Crown Hill,Crown Hill
15,Dunlap,Dunlap
16,Eastlake,Eastlake
17,Fairmount Park,Fairmount Park
18,Fauntleroy,Fauntleroy
19,First Hill,Central Business District
20,Fremont,West Woodland
21,Gatewood,Gatewood
22,Genesee,Fairmount Park
23,Georgetown,Georgetown
24,Green Lake,Wallingford
25,Greenwood,Greenwood
26,Haller Lake,Haller Lake
27,Harrison/Denny-Blaine,Madrona
28,High Point,South Delridge
29,Highland Park,South Delridge
30,Holly Park,Mid-Beacon Hill
31,Industrial District,Industrial District
32,Interbay,Interbay
33,International District,International District
34,Laurelhurst,Laurelhurst
35,Leschi,Madrona
36,Licton Springs,North College Park
37,Lower Queen Anne,East Queen Anne
38,Madison Park,Harrison/Denny-Blaine
39,Madrona,Mann
40,Magnolia,Lawton Park
41,Maple Leaf,Maple Leaf
42,Mathews Beach,Matthews Beach
43,Meadowbrook,Meadowbrook
44,Minor,Mann
45,Montlake,Montlake
46,Mount Baker,Mount Baker
47,North Admiral,Alki
48,North Beach/Blue Ridge,North Beach/Blue Ridge
49,North Beacon Hill,Atlantic
50,North College Park,North College Park
51,North Delridge,North Delridge
52,Olympic Hills,Olympic Hills
53,Others,West Queen Anne
54,Phinney Ridge,West Woodland
55,Pike Market,Pike-Market
56,Pike Place Market,Pike-Market
57,Pinehurst,Pinehurst
58,Pioneer Square,Pioneer Square
59,Portage Bay,Eastlake
60,Queen Anne,West Queen Anne
61,Rainier Beach,Dunlap
62,Ravenna,Ravenna
63,Riverview,Riverview
64,Roosevelt,University District
65,Roxhill,Roxhill
66,Seaview,Seaview
67,Seward Park,Brighton
68,South Beacon Hill,South Beacon Hill
69,South Delridge,South Delridge
70,South Lake Union,South Lake Union
71,South Park,South Park
72,Stevens,Broadway
73,The Junction,Gatewood
74,University District,University District
75,Victory Heights,Victory Heights
76,View Ridge,View Ridge
77,Wallingford,Wallingford
78,Wedgewood,Ravenna
79,Westlake,East Queen Anne
80,Windermere,View Ridge
81,Yesler Terrace,International District
